incident_type,severity,affected_people,injured_people,trapped_people,vulnerable_people,children_count,elderly_count,waiting_time_hours,priority_level
Flood,low,48,8,16,4,19,7,20.6,critical
Fire,critical,22,0,0,1,3,3,29.7,medium
Earthquake,critical,221,24,67,9,66,40,23.9,critical
Fire,medium,32,0,18,9,10,6,42.6,high
Medical,low,43,37,0,4,12,6,37.6,critical
Structural Collapse,critical,321,99,0,9,43,1,29.3,critical
Earthquake,critical,270,0,0,4,95,35,39.1,high
Earthquake,critical,404,240,0,52,141,63,10.1,critical
Chemical Spill,low,49,17,0,12,10,1,14.6,high
Earthquake,low,23,0,0,5,9,2,28.6,low
Medical,high,162,12,0,18,52,18,31.1,critical
Structural Collapse,medium,9,1,3,1,0,0,16.2,medium
Flood,low,17,2,0,3,6,0,38.6,medium
Chemical Spill,low,3,3,0,0,1,0,39.7,low
Earthquake,high,19,0,0,2,2,3,18.4,medium
Structural Collapse,low,19,0,16,3,4,3,25.0,critical
Chemical Spill,high,61,0,9,1,15,2,31.2,high
Flood,medium,12,12,1,3,3,2,30.3,high
Structural Collapse,high,53,0,2,8,6,2,16.3,medium
Earthquake,high,80,0,0,4,29,13,44.5,medium
Earthquake,critical,48,0,0,13,1,3,23.1,medium
Flood,medium,22,6,0,3,6,2,34.1,high
Medical,low,1,0,0,0,0,0,6.2,low
Flood,critical,291,28,0,77,24,47,2.2,critical
Earthquake,medium,35,3,0,8,0,3,44.3,high
Earthquake,low,43,39,0,6,13,5,24.0,critical
Flood,high,120,0,14,14,45,24,7.9,high
Fire,low,6,3,0,1,1,0,18.9,low
Medical,medium,22,0,0,2,4,3,42.1,medium
Earthquake,low,23,0,9,2,7,0,23.9,medium
Earthquake,medium,2,0,0,0,0,0,10.8,medium
Flood,low,37,0,0,10,8,7,29.7,low
Earthquake,low,49,13,0,11,13,3,14.6,high
Chemical Spill,medium,31,0,0,1,6,4,46.0,medium
Medical,high,102,0,0,28,31,19,26.1,high
Structural Collapse,low,16,6,0,3,2,1,25.1,medium
Structural Collapse,high,66,0,0,8,2,6,4.5,medium
Chemical Spill,medium,10,1,0,3,1,0,33.9,medium
Medical,medium,44,13,42,3,11,3,47.5,critical
Chemical Spill,critical,275,119,127,82,10,47,13.4,critical
Chemical Spill,low,5,0,0,0,1,0,6.5,low
Chemical Spill,medium,25,19,25,0,9,1,12.6,critical
Flood,high,122,108,0,2,27,2,33.0,critical
Flood,medium,44,0,0,10,3,7,6.8,low
Medical,low,11,0,0,3,4,2,38.3,low
Earthquake,critical,498,403,452,47,129,79,47.7,critical
Fire,low,38,23,0,0,0,0,20.7,medium
Structural Collapse,medium,25,0,0,4,3,5,2.4,low
Earthquake,medium,3,0,0,0,0,0,22.1,medium
Structural Collapse,medium,0,0,0,0,0,0,15.1,medium
Medical,low,31,0,0,5,10,0,29.2,low
Chemical Spill,medium,9,1,0,1,3,1,19.1,medium
Fire,high,175,133,0,24,17,12,4.4,critical
Fire,high,15,6,0,4,4,1,40.3,high
Flood,high,110,21,0,0,3,18,18.6,critical
Fire,critical,14,2,0,1,0,0,2.3,medium
Flood,low,38,0,0,7,6,7,19.0,low
Earthquake,low,26,2,16,2,8,1,44.3,critical
Fire,low,7,5,0,2,2,1,44.2,low
Fire,high,97,0,0,4,0,0,39.5,medium
Chemical Spill,high,31,0,8,3,2,1,10.6,high
Earthquake,medium,10,0,8,1,1,1,6.2,critical
Earthquake,medium,36,2,26,9,1,4,22.2,critical
Medical,low,32,0,27,4,8,3,9.3,high
Structural Collapse,critical,347,337,65,73,44,46,44.3,critical
Chemical Spill,critical,109,15,25,28,28,5,0.7,critical
Fire,low,13,0,2,1,0,1,40.1,low
Earthquake,low,20,9,13,5,4,1,6.1,critical
Chemical Spill,critical,230,0,0,22,7,11,12.0,high
Chemical Spill,critical,203,30,0,53,7,23,46.5,critical
Flood,high,78,21,0,18,16,7,44.3,critical
Structural Collapse,medium,46,0,0,12,7,2,16.6,medium
Chemical Spill,low,32,19,0,8,0,2,20.4,high
Structural Collapse,medium,20,7,0,1,1,1,0.3,low
Medical,low,25,0,0,5,2,3,23.1,low
Fire,medium,27,0,10,7,8,0,38.8,medium
Earthquake,critical,256,217,30,46,5,43,41.9,critical
Chemical Spill,medium,10,10,0,0,3,1,13.9,medium
Chemical Spill,low,39,0,0,10,5,0,44.9,low
Earthquake,high,162,76,145,22,20,22,15.1,critical
Flood,medium,26,0,0,4,8,1,36.0,medium
Chemical Spill,low,36,0,0,2,14,0,6.4,low
Structural Collapse,medium,18,0,0,1,7,3,39.1,medium
Chemical Spill,low,31,0,13,7,3,1,9.4,medium
Earthquake,low,13,1,0,2,1,2,13.0,low
Medical,critical,238,0,6,71,88,0,22.9,high
Fire,medium,24,10,0,5,5,4,16.0,high
Structural Collapse,high,109,0,0,0,31,7,13.2,high
Fire,low,27,0,0,4,3,0,7.9,low
Chemical Spill,medium,15,0,0,4,6,2,19.0,medium
Earthquake,critical,121,0,0,34,13,16,9.9,high
Earthquake,medium,11,11,3,1,4,2,30.8,high
Medical,medium,43,0,0,5,7,5,39.0,medium
Fire,critical,371,0,0,54,35,50,25.3,high
Chemical Spill,low,40,0,0,5,3,4,7.7,low
Flood,critical,241,0,0,19,41,11,29.5,high
Structural Collapse,medium,13,0,0,0,3,1,23.6,medium
Earthquake,high,181,89,25,35,42,34,4.3,critical
Fire,low,0,0,0,0,0,0,45.4,low
Chemical Spill,high,144,121,0,35,27,22,30.4,critical
Medical,high,43,0,0,9,6,5,40.5,medium
Chemical Spill,medium,18,14,0,0,7,1,22.7,high
Structural Collapse,low,28,18,0,3,2,5,24.0,high
Medical,low,37,6,0,5,1,4,19.9,medium
Medical,low,10,0,0,1,2,0,37.5,low
Medical,high,55,0,0,9,20,11,37.9,medium
Chemical Spill,critical,442,0,400,86,87,44,7.2,critical
Chemical Spill,low,10,0,0,1,0,1,45.8,low
Medical,low,28,0,0,6,7,1,6.0,low
Fire,critical,327,0,0,13,83,1,4.6,high
Fire,low,2,0,0,0,0,0,25.8,low
Fire,high,156,0,0,29,14,14,30.0,high
Flood,high,181,0,0,28,18,30,9.2,medium
Earthquake,low,16,8,6,3,0,3,13.0,critical
Medical,high,150,87,0,18,8,27,30.7,critical
Fire,high,38,0,0,5,14,2,32.4,medium
Flood,low,5,5,0,1,0,0,5.7,low
Chemical Spill,high,28,0,0,5,7,5,6.1,medium
Earthquake,low,25,0,18,2,2,1,8.6,medium
Chemical Spill,critical,169,0,0,16,39,3,9.0,high
Medical,medium,20,0,11,3,1,3,1.2,medium
Flood,high,129,0,0,0,40,24,5.8,medium
Chemical Spill,low,9,0,0,2,2,0,38.0,low
Medical,medium,45,0,0,5,15,5,4.9,low
Chemical Spill,critical,323,303,0,86,57,56,30.2,critical
Flood,low,5,0,0,1,1,1,40.6,low
Medical,medium,27,25,0,4,7,1,4.8,critical
Medical,medium,3,1,3,0,1,0,46.5,high
Flood,medium,24,17,0,0,6,2,26.0,critical
Flood,medium,37,5,0,11,11,0,22.6,high
Structural Collapse,medium,21,0,18,3,5,1,13.5,high
Structural Collapse,low,16,0,0,2,3,1,34.5,low
Chemical Spill,critical,156,14,130,10,52,13,18.6,critical
Earthquake,critical,341,0,0,17,18,54,10.3,high
Fire,medium,34,26,30,2,10,5,45.2,critical
Chemical Spill,high,46,24,0,2,2,1,38.4,high
Flood,medium,17,0,0,1,4,3,26.6,medium
Flood,medium,39,0,0,7,14,0,39.0,medium
Structural Collapse,high,61,41,0,8,23,6,18.7,critical
Fire,low,26,0,0,4,5,4,1.6,low
Fire,critical,123,0,0,35,16,4,47.8,high
Earthquake,high,189,97,0,36,47,6,28.3,critical
Fire,medium,11,0,0,1,4,2,7.2,low
Earthquake,low,20,0,0,2,2,3,2.2,low
Fire,high,75,0,0,4,27,15,30.2,medium
Chemical Spill,low,16,12,0,4,6,0,3.0,medium
Chemical Spill,low,8,0,4,2,3,1,13.4,low
Earthquake,medium,21,4,0,4,0,0,40.5,medium
Medical,low,38,32,0,7,9,2,19.7,critical
Chemical Spill,critical,415,261,0,106,30,61,33.4,critical
Structural Collapse,high,19,2,0,0,7,0,8.5,high
Fire,low,2,1,0,0,0,0,32.7,low
Structural Collapse,critical,199,0,0,32,76,35,43.2,high
Structural Collapse,medium,18,1,0,2,1,0,16.3,medium
Chemical Spill,medium,48,0,46,8,6,8,23.3,critical
Earthquake,low,33,12,28,3,5,3,43.0,critical
Chemical Spill,low,35,16,0,2,8,3,44.3,high
Chemical Spill,low,34,0,0,8,9,6,19.0,low
Chemical Spill,medium,38,0,0,9,15,1,26.8,medium
Flood,high,169,0,0,13,25,3,15.2,high
Chemical Spill,critical,482,448,370,111,95,77,3.8,critical
Flood,low,11,1,2,1,2,2,3.4,low
Medical,low,10,5,0,1,4,0,29.5,low
Medical,high,17,0,3,1,3,3,14.9,medium
Chemical Spill,medium,30,0,0,9,8,6,41.9,medium
Flood,low,6,3,0,0,1,0,18.9,low
Flood,low,8,0,0,0,0,0,33.0,low
Flood,low,34,28,0,5,2,5,35.3,critical
Flood,low,47,0,0,1,16,5,38.4,low
Structural Collapse,high,182,0,0,10,18,0,1.1,medium
Flood,medium,47,0,0,2,2,2,47.1,medium
Chemical Spill,critical,343,110,38,12,10,15,17.0,critical
Structural Collapse,high,113,28,0,7,22,20,5.6,critical
Earthquake,critical,268,0,258,27,62,16,15.0,critical
Fire,low,14,0,6,2,5,1,31.4,medium
Earthquake,high,85,0,0,24,7,14,47.7,medium
Earthquake,low,30,0,28,8,1,5,14.7,high
Medical,high,196,0,0,18,14,5,15.1,high
Medical,critical,123,0,0,20,28,5,3.7,high
Earthquake,medium,19,7,0,1,5,0,29.1,high
Flood,high,159,0,0,42,0,17,42.9,high
Earthquake,medium,7,3,3,1,0,1,36.5,medium
Flood,high,145,83,134,14,22,13,37.5,critical
Structural Collapse,low,32,0,5,9,3,5,41.4,medium
Flood,medium,20,6,0,2,4,3,2.4,medium
Flood,low,14,5,0,0,4,1,2.2,low
Flood,medium,41,4,0,0,1,7,21.2,high
Medical,medium,2,0,0,0,0,0,2.9,low
Structural Collapse,medium,9,5,3,2,3,0,13.7,medium
Flood,medium,28,22,0,0,3,2,0.4,medium
Fire,medium,1,1,0,0,0,0,11.6,medium
Fire,medium,9,7,0,0,1,0,4.2,medium
Structural Collapse,low,43,0,36,7,9,7,11.8,critical
Fire,medium,22,8,0,2,6,3,22.5,high
Flood,medium,34,9,0,1,13,1,2.7,high
Fire,low,0,0,0,0,0,0,2.2,low
Fire,medium,41,0,25,3,7,2,43.4,critical
Earthquake,medium,28,5,0,4,7,4,40.2,high
Structural Collapse,medium,23,0,0,2,9,1,45.3,medium
Earthquake,high,17,2,0,5,3,0,11.4,high
Flood,low,48,0,0,8,16,6,31.1,low
Structural Collapse,medium,21,13,15,4,1,1,12.1,critical
Flood,medium,16,0,0,2,3,0,4.8,low
Structural Collapse,high,177,0,21,10,36,25,27.2,critical
Earthquake,low,21,15,0,6,6,0,41.2,high
Structural Collapse,medium,13,0,0,0,4,0,24.0,medium
Structural Collapse,high,54,0,0,15,12,2,14.7,medium
Flood,low,18,16,5,2,0,0,3.1,medium
Fire,critical,322,253,143,23,76,46,5.5,critical
Medical,low,1,0,0,0,0,0,13.3,low
Earthquake,critical,471,174,0,128,89,23,46.4,critical
Chemical Spill,low,0,0,0,0,0,0,16.4,low
Chemical Spill,medium,9,7,0,1,0,0,12.4,medium
Chemical Spill,low,1,0,1,0,0,0,19.6,high
Flood,medium,13,0,1,3,1,2,1.1,low
Chemical Spill,low,43,0,21,11,16,7,47.3,high
Structural Collapse,high,18,6,5,4,4,1,24.5,critical
Flood,critical,319,0,0,12,56,48,5.4,high
Structural Collapse,critical,84,0,0,20,29,16,14.9,medium
Chemical Spill,high,92,0,0,8,12,13,4.8,medium
Earthquake,medium,21,3,10,1,1,1,3.8,critical
Structural Collapse,medium,32,14,0,7,5,3,46.1,high
Chemical Spill,low,16,0,0,0,1,2,9.7,low
Earthquake,high,185,0,0,29,7,33,7.8,medium
Medical,medium,34,11,0,1,6,6,17.1,high
Fire,low,21,0,11,3,4,1,23.0,medium
Structural Collapse,high,8,5,0,2,0,0,9.0,medium
Structural Collapse,low,2,2,2,0,0,0,41.4,high
Earthquake,high,116,0,0,19,32,16,24.6,high
Structural Collapse,high,197,96,192,15,17,5,45.3,critical
Structural Collapse,low,12,0,0,0,4,2,14.8,low
Fire,high,56,28,0,14,2,0,41.9,critical
Fire,high,162,0,0,46,56,24,42.8,high
Flood,medium,0,0,0,0,0,0,6.7,low
Chemical Spill,low,11,1,0,0,4,0,21.8,low
Fire,medium,14,0,5,4,5,1,10.5,medium
Chemical Spill,medium,26,5,0,4,10,4,41.8,high
Structural Collapse,high,41,0,0,2,2,3,38.0,medium
Medical,critical,441,0,0,116,129,87,20.8,high
Medical,high,56,0,0,13,9,0,42.3,medium
Chemical Spill,critical,224,0,0,25,5,43,34.4,high
Chemical Spill,medium,5,0,0,0,1,0,14.1,medium
Fire,low,14,0,0,4,2,0,25.3,low
Structural Collapse,medium,22,0,0,5,0,0,31.7,medium
Structural Collapse,low,45,1,15,4,0,2,37.7,high
Earthquake,low,28,0,0,5,4,5,44.1,low
Flood,low,45,6,0,4,3,0,37.3,medium
Structural Collapse,low,41,0,7,2,2,8,33.9,medium
Medical,high,66,0,0,4,19,0,33.9,medium
Fire,medium,0,0,0,0,0,0,12.4,medium
Structural Collapse,critical,12,0,0,3,2,0,47.9,medium
Chemical Spill,critical,368,0,0,8,92,2,19.1,high
Medical,medium,25,8,0,2,2,4,7.0,high
Structural Collapse,medium,7,0,0,0,2,1,46.2,medium
Earthquake,medium,42,17,35,7,0,0,4.4,critical
Fire,critical,477,169,0,23,106,81,43.3,critical
Structural Collapse,low,17,11,0,1,5,3,28.7,high
Structural Collapse,high,175,0,0,12,31,6,13.9,high
Flood,critical,111,85,68,15,12,19,8.7,critical
Earthquake,critical,478,48,454,80,83,48,26.8,critical
Medical,critical,56,0,38,5,18,4,6.9,critical
Chemical Spill,low,32,0,0,3,3,5,28.2,low
Flood,low,22,0,0,6,4,4,3.5,low
Structural Collapse,low,9,3,5,0,0,0,28.9,high
Medical,high,16,5,10,0,4,0,2.5,critical
Chemical Spill,low,40,0,36,5,5,2,5.4,critical
Fire,low,14,0,7,0,0,0,13.5,medium
Flood,low,13,0,12,2,1,1,20.5,critical
Medical,low,2,0,0,0,0,0,28.2,low
Fire,medium,45,0,16,12,7,1,36.5,high
Earthquake,critical,274,0,250,35,101,39,21.6,critical
Medical,critical,391,154,0,7,150,63,42.4,critical
Medical,low,22,0,0,6,2,0,0.6,low
Fire,high,66,61,0,10,19,3,28.7,critical
Chemical Spill,critical,319,0,0,87,36,48,29.6,high
Medical,low,2,0,1,0,0,0,16.2,low
Earthquake,high,104,17,0,18,41,17,47.6,critical
Structural Collapse,low,2,2,1,0,0,0,45.2,low
Earthquake,low,10,10,9,2,0,2,22.1,critical
Fire,low,39,0,0,11,13,0,43.3,low
Medical,low,42,0,0,0,4,4,19.1,low
Medical,low,16,4,0,2,3,0,11.0,low
Structural Collapse,low,46,0,0,0,4,1,43.6,low
Flood,medium,12,3,0,1,0,0,19.4,medium
Chemical Spill,low,41,0,0,0,13,4,19.6,low
Fire,critical,12,0,0,2,3,2,14.0,medium
Earthquake,low,15,0,12,2,2,3,16.0,critical
Structural Collapse,critical,398,24,0,36,124,4,37.7,critical
Medical,critical,218,186,0,26,66,1,30.6,critical
Structural Collapse,medium,41,6,0,9,3,2,6.0,high
Chemical Spill,low,10,0,0,3,2,0,19.8,low
Earthquake,high,162,105,138,28,16,25,4.9,critical
Chemical Spill,high,162,2,0,35,10,31,17.9,high
Chemical Spill,low,2,1,2,0,0,0,41.4,high
Chemical Spill,medium,40,0,0,6,8,4,20.5,medium
Flood,critical,482,282,334,95,155,8,12.0,critical
Flood,medium,37,0,0,8,3,5,6.4,low
Medical,high,36,0,14,3,6,5,34.1,high
Medical,low,17,3,0,5,4,0,12.4,medium
Flood,critical,190,0,0,21,12,24,27.6,high
Flood,critical,242,0,0,26,50,14,3.1,medium
Structural Collapse,high,80,0,0,9,10,13,3.9,medium
Medical,high,169,68,147,25,43,5,14.6,critical
Flood,high,88,0,0,16,4,10,27.6,medium
Flood,low,26,24,9,4,6,4,34.8,critical
Chemical Spill,critical,404,0,0,44,17,78,23.9,high
Medical,low,15,9,0,2,2,2,0.2,medium
Earthquake,critical,124,0,0,8,41,10,11.8,high
Structural Collapse,medium,44,0,0,9,15,7,2.2,low
Medical,medium,7,0,0,0,0,0,9.1,low
Fire,low,33,17,0,3,12,5,18.8,high
Fire,low,37,0,35,4,7,5,18.3,critical
Medical,low,19,6,8,3,4,2,10.7,critical
Medical,low,4,3,3,0,0,0,2.1,high
Medical,critical,384,0,0,81,101,19,37.1,high
Flood,low,27,8,0,0,9,1,3.8,medium
Structural Collapse,low,7,0,0,0,0,0,11.8,low
Earthquake,low,19,0,18,5,2,3,12.9,critical
Structural Collapse,low,7,1,1,2,1,0,28.1,low
Medical,low,28,6,1,4,5,3,41.2,high
Structural Collapse,low,5,3,5,0,0,1,23.4,high
Earthquake,medium,46,26,0,4,0,2,27.1,critical
Chemical Spill,low,44,0,0,10,17,1,43.9,low
Chemical Spill,low,25,0,0,3,9,4,47.7,low
Medical,low,36,6,17,5,1,6,21.6,critical
Chemical Spill,low,25,0,20,4,8,2,15.6,high
Flood,medium,24,14,0,4,1,2,0.3,high
Flood,low,47,7,0,2,15,1,15.3,high
Fire,low,6,2,0,1,1,0,2.3,low
Flood,critical,478,24,52,80,24,32,5.0,critical
Fire,high,194,112,0,12,14,25,4.3,critical
Chemical Spill,high,156,17,26,23,28,10,11.8,critical
Fire,low,42,0,0,9,11,4,34.0,low
Earthquake,medium,5,2,0,0,1,1,43.2,medium
Medical,medium,16,10,0,2,3,3,27.4,high
Structural Collapse,low,4,2,0,0,1,0,40.3,low
Structural Collapse,medium,24,0,0,5,1,2,38.1,medium
Structural Collapse,high,80,7,0,13,26,9,43.7,high
Medical,low,19,18,0,4,7,0,2.4,high
Structural Collapse,low,29,0,0,7,9,1,6.7,low
Earthquake,low,3,1,0,0,0,0,43.3,low
Medical,low,23,0,3,6,9,1,23.1,low
Fire,medium,32,0,0,5,3,2,13.0,medium
Flood,medium,16,0,2,4,4,2,33.1,medium
Fire,medium,25,1,0,6,5,4,43.9,high
Flood,medium,35,24,0,3,12,4,12.0,critical
Chemical Spill,low,46,13,0,6,8,9,28.2,high
Flood,low,5,3,0,0,2,1,21.4,low
Fire,critical,31,0,0,5,7,2,38.7,medium
Medical,medium,22,0,0,2,3,2,43.1,medium
Structural Collapse,critical,143,0,0,10,6,12,35.5,high
Structural Collapse,low,6,0,0,1,1,1,17.5,low
Medical,high,48,32,48,3,3,5,3.7,critical
Structural Collapse,low,46,0,0,0,0,0,31.3,low
Fire,low,2,1,0,0,0,0,28.0,low
Structural Collapse,medium,22,14,0,1,3,1,37.2,medium
Fire,medium,31,0,0,0,2,0,35.8,medium
Chemical Spill,low,4,1,0,1,0,0,47.0,low
Structural Collapse,critical,291,0,0,42,69,34,2.2,medium
Flood,medium,13,5,4,1,3,2,39.1,high
Medical,low,8,5,5,1,3,1,4.4,high
Structural Collapse,low,33,23,5,0,11,1,31.2,critical
Medical,low,25,0,0,6,0,2,37.5,low
Chemical Spill,medium,36,16,0,6,8,7,45.2,high
Earthquake,critical,325,0,248,4,62,35,11.4,critical
Medical,low,26,0,0,1,5,4,22.8,low
Chemical Spill,critical,461,392,104,105,42,38,19.9,critical
Earthquake,high,98,0,0,9,37,14,42.7,medium
Earthquake,critical,262,0,0,1,80,29,1.2,medium
Earthquake,low,9,2,0,2,2,1,19.7,low
Chemical Spill,low,21,0,16,2,0,4,9.2,medium
Flood,low,0,0,0,0,0,0,11.5,low
Flood,low,43,0,6,5,9,6,7.1,low
Structural Collapse,low,40,0,9,2,14,7,27.8,medium
Fire,low,10,8,4,1,3,1,39.6,medium
Flood,high,13,0,0,1,4,1,9.0,medium
Chemical Spill,low,4,0,0,0,1,0,23.7,low
Fire,medium,16,5,0,4,1,1,29.2,high
Chemical Spill,critical,30,9,10,2,5,4,7.4,critical
Flood,medium,12,9,0,0,0,1,17.4,medium
Medical,medium,1,0,0,0,0,0,28.8,medium
Medical,high,168,153,0,16,24,1,27.7,critical
Flood,low,0,0,0,0,0,0,13.4,low
Structural Collapse,medium,49,0,0,2,8,2,8.4,low
Flood,medium,42,0,0,2,10,7,21.0,medium
Earthquake,low,30,13,0,5,12,3,24.1,high
Fire,medium,5,0,0,1,2,1,15.8,medium
Medical,medium,13,3,0,0,3,2,25.1,medium
Flood,low,4,0,0,1,1,0,28.0,low
Structural Collapse,medium,32,0,0,4,2,1,1.6,low
Fire,low,34,14,13,4,9,0,38.7,critical
Medical,high,121,0,0,28,39,15,44.6,high
Fire,medium,34,0,0,7,11,5,29.8,medium
Earthquake,low,46,0,0,11,12,7,40.1,low
Medical,low,7,1,0,2,0,1,43.5,low
Chemical Spill,high,122,64,21,25,17,17,47.5,critical
Medical,high,139,6,0,38,53,26,10.3,high
Chemical Spill,medium,4,0,0,1,0,0,12.6,medium
Chemical Spill,medium,12,8,0,3,3,0,4.5,high
Chemical Spill,medium,44,11,0,2,1,4,24.7,high
Fire,medium,3,3,0,0,1,0,25.6,medium
Medical,low,26,0,0,3,9,2,6.9,low
Chemical Spill,medium,0,0,0,0,0,0,29.4,medium
Fire,low,18,0,0,1,2,0,31.6,low
Flood,low,6,0,0,1,0,1,19.0,low
Fire,critical,417,296,0,100,84,71,38.3,critical
Structural Collapse,low,15,3,0,3,1,1,46.0,low
Earthquake,low,4,0,0,0,1,0,41.4,low
Earthquake,low,2,0,1,0,0,0,37.1,low
Medical,low,6,5,0,1,0,1,5.4,low
Fire,low,39,18,0,1,4,6,43.4,high
Chemical Spill,low,8,0,5,0,2,0,43.6,high
Medical,low,43,0,0,0,11,8,28.0,low
Earthquake,high,25,0,0,1,9,0,12.9,medium
Chemical Spill,low,14,0,0,1,1,2,30.1,low
Structural Collapse,high,31,0,0,6,6,1,18.4,medium
Fire,critical,333,0,0,46,79,58,36.0,high
Earthquake,high,39,0,0,10,11,3,42.6,medium
Flood,medium,29,1,0,8,5,3,29.5,high
Fire,low,19,0,0,5,6,3,12.7,low
Chemical Spill,medium,31,0,21,6,2,0,22.8,high
Chemical Spill,low,43,30,0,4,14,6,15.9,critical
Chemical Spill,medium,2,2,0,0,0,0,19.2,medium
Fire,high,71,0,0,2,16,6,27.7,medium
Medical,high,60,0,0,1,10,10,33.9,medium
Flood,high,105,66,1,21,5,6,31.3,critical
Chemical Spill,high,84,0,15,7,3,7,33.4,high
Structural Collapse,low,19,0,0,2,1,1,36.3,low
Earthquake,high,167,0,0,17,61,26,38.5,high
Chemical Spill,low,16,0,14,3,1,1,37.6,critical
Structural Collapse,high,61,0,0,14,0,11,1.2,low
Structural Collapse,medium,20,0,0,2,8,3,11.0,medium
Earthquake,medium,43,0,0,11,8,5,36.0,medium
Chemical Spill,medium,37,4,0,7,9,0,20.7,high
Chemical Spill,low,2,0,2,0,0,0,21.9,high
Chemical Spill,high,27,5,0,3,10,4,11.5,high
Flood,medium,1,1,0,0,0,0,1.9,low
Chemical Spill,low,2,2,0,0,0,0,20.7,low
Chemical Spill,medium,36,0,0,8,0,2,15.9,medium
Fire,low,7,0,0,1,2,1,13.4,low
Structural Collapse,high,118,65,0,14,31,9,40.1,critical
Flood,low,43,0,0,2,14,1,12.8,low
Structural Collapse,critical,94,0,0,12,22,0,34.6,medium
Medical,medium,6,4,0,0,2,1,28.0,medium
Chemical Spill,high,85,0,0,17,18,13,16.7,medium
Medical,medium,4,0,0,0,0,0,23.2,medium
Flood,high,52,22,47,12,11,7,39.0,critical
Chemical Spill,low,27,26,0,2,4,1,4.3,high
Flood,low,31,27,1,9,0,1,10.8,critical
Earthquake,high,93,60,0,24,1,12,28.1,critical
Chemical Spill,critical,95,0,0,9,5,11,9.0,medium
Flood,low,4,0,1,1,1,0,28.8,low
Medical,low,46,31,0,3,8,3,46.7,critical
Earthquake,low,39,21,0,10,7,3,3.5,high
Fire,high,36,20,3,2,1,1,21.3,high
Medical,high,80,0,0,18,8,2,12.1,medium
Structural Collapse,medium,0,0,0,0,0,0,4.9,low
Chemical Spill,low,42,16,0,0,15,2,8.1,high
Earthquake,high,155,0,137,24,51,16,4.0,critical
Fire,low,22,4,12,0,6,1,17.5,critical
Structural Collapse,critical,209,159,182,32,7,13,46.4,critical
Fire,low,22,0,0,1,6,4,34.2,low
Fire,medium,4,3,4,1,0,0,0.6,high
Chemical Spill,high,95,0,16,0,29,0,2.2,high
Flood,medium,11,4,0,3,2,2,6.7,high
Medical,high,179,0,0,13,49,19,32.9,high
Structural Collapse,medium,19,0,0,4,5,3,31.1,medium
Structural Collapse,critical,408,0,346,79,58,9,18.9,critical
Chemical Spill,critical,305,0,301,81,72,53,16.6,critical
Structural Collapse,high,24,0,20,3,0,3,9.0,high
Medical,low,37,0,0,11,14,2,25.6,low
Fire,high,10,8,7,3,3,0,47.1,critical
Structural Collapse,critical,118,0,0,6,25,7,19.2,high
Medical,low,25,0,0,6,8,5,44.2,low
Structural Collapse,high,64,0,0,4,10,10,32.0,medium
Medical,medium,30,16,0,6,9,5,17.9,high
Fire,high,140,0,0,22,27,18,7.3,medium
Fire,low,29,22,0,8,2,3,16.1,high
Chemical Spill,medium,48,21,0,13,16,4,2.6,high
Medical,medium,47,4,0,7,10,6,35.0,high
Flood,low,43,0,7,11,8,3,24.6,medium
Earthquake,medium,0,0,0,0,0,0,11.3,medium
Flood,medium,0,0,0,0,0,0,9.6,low
Earthquake,medium,33,0,11,2,6,0,37.0,medium
Structural Collapse,low,29,26,0,1,2,2,47.9,high
Chemical Spill,medium,3,2,0,0,1,0,24.8,medium
Earthquake,critical,146,0,0,41,43,23,45.3,high
Medical,low,16,0,0,0,0,2,16.6,low
Earthquake,high,96,5,0,19,15,6,36.0,high
Structural Collapse,medium,40,0,21,6,11,6,13.1,high
Chemical Spill,medium,8,0,0,2,1,1,15.9,medium
Earthquake,high,29,0,0,1,9,2,2.0,low
Flood,medium,24,19,0,3,6,1,41.8,critical
Medical,high,131,97,83,31,3,4,34.5,critical
Structural Collapse,medium,8,4,0,0,3,1,18.5,medium
Earthquake,low,30,1,15,3,0,6,13.7,high
Medical,high,88,0,18,17,29,9,8.3,high
Medical,medium,32,0,0,4,3,0,0.4,low
Flood,medium,23,0,1,5,0,3,14.4,medium
Flood,critical,14,4,0,0,0,0,24.8,high
Earthquake,high,177,172,0,5,66,5,31.0,critical
Earthquake,high,40,3,0,12,0,3,47.9,high
Structural Collapse,medium,44,39,0,0,14,3,0.7,critical
Chemical Spill,critical,317,73,0,59,125,62,28.1,critical
Structural Collapse,medium,33,12,0,1,12,6,5.5,high
Earthquake,low,43,0,0,9,1,3,37.4,low
Medical,low,30,7,0,3,10,1,41.8,high
Structural Collapse,critical,265,0,0,70,90,23,35.8,high
Fire,high,106,105,0,6,27,18,2.6,critical
Chemical Spill,critical,344,0,188,49,95,58,7.2,critical
Flood,medium,44,25,42,7,7,0,8.4,critical
Fire,high,39,0,0,10,2,7,32.1,medium
Structural Collapse,high,44,0,44,10,14,7,12.3,critical
Chemical Spill,high,68,26,44,2,25,6,41.6,critical
Chemical Spill,low,18,0,0,2,1,1,39.3,low
Flood,medium,34,7,0,4,11,0,13.1,high
Medical,low,41,35,0,1,1,0,46.9,high
Fire,low,1,0,0,0,0,0,41.8,low
Medical,medium,12,9,0,3,4,0,34.9,high
Fire,high,42,0,0,3,13,7,31.3,medium
Chemical Spill,low,40,0,0,11,3,4,22.8,low
Medical,low,4,0,0,1,1,0,0.6,low
